[{'word': 'easier', 'softmax': 0.9999971985816956}, {'word': 'harder', 'softmax': 1.5575773310017027e-11}]
[{'word': 'harder', 'softmax': 0.9999999403953552}, {'word': 'easier', 'softmax': 2.389001219071929e-09}]
[{'word': 'harder', 'softmax': 0.9999999403953552}, {'word': 'easier', 'softmax': 4.088801297541522e-09}]
[{'word': 'harder', 'softmax': 1.0}, {'word': 'easier', 'softmax': 2.6096704797140546e-09}]
[{'word': 'easier', 'softmax': 0.9999979734420776}, {'word': 'harder', 'softmax': 1.0399346314637903e-11}]
[{'word': 'easier', 'softmax': 0.9999982714653015}, {'word': 'harder', 'softmax': 8.673268700465364e-12}]
[{'word': 'harder', 'softmax': 0.9999971389770508}, {'word': 'easier', 'softmax': 5.877801023679297e-10}]
[{'word': 'easier', 'softmax': 0.9999610781669617}, {'word': 'harder', 'softmax': 1.55003804930276e-11}]
[{'word': 'easier', 'softmax': 0.9999582171440125}, {'word': 'harder', 'softmax': 1.4899789735345337e-11}]
[{'word': 'more', 'softmax': 0.999999463558197}, {'word': 'less', 'softmax': 1.3357403361169418e-07}]
[{'word': 'less', 'softmax': 0.9999762177467346}, {'word': 'more', 'softmax': 1.253538783885233e-07}]
[{'word': 'less', 'softmax': 0.9999759197235107}, {'word': 'more', 'softmax': 9.887767760119459e-08}]
[{'word': 'harder', 'softmax': 0.9999982118606567}, {'word': 'easier', 'softmax': 3.8933459234336e-10}]
[{'word': 'easier', 'softmax': 0.9999971985816956}, {'word': 'harder', 'softmax': 3.481282970230204e-12}]
[{'word': 'easier', 'softmax': 0.9999983310699463}, {'word': 'harder', 'softmax': 2.2720107045737237e-12}]
[{'word': 'easier', 'softmax': 0.9998006224632263}, {'word': 'harder', 'softmax': 1.3618787875202543e-08}]
[{'word': 'harder', 'softmax': 0.9999700784683228}, {'word': 'easier', 'softmax': 2.6291983701298705e-08}]
[{'word': 'harder', 'softmax': 0.9997883439064026}, {'word': 'easier', 'softmax': 1.4846798990220123e-07}]
[{'word': 'less', 'softmax': 0.9999841451644897}, {'word': 'more', 'softmax': 4.524496944213752e-06}]
[{'word': 'more', 'softmax': 0.9999995827674866}, {'word': 'less', 'softmax': 3.3649882880126825e-07}]
[{'word': 'more', 'softmax': 0.9999996423721313}, {'word': 'less', 'softmax': 2.063814434904998e-07}]
[{'word': 'easier', 'softmax': 0.9999744296073914}, {'word': 'harder', 'softmax': 2.0437608203027757e-11}]
[{'word': 'harder', 'softmax': 0.9999635219573975}, {'word': 'easier', 'softmax': 9.221545749227289e-10}]
[{'word': 'harder', 'softmax': 0.9998931288719177}, {'word': 'easier', 'softmax': 1.8345325258906087e-09}]
[{'word': 'better', 'softmax': 0.9999998211860657}, {'word': 'worse', 'softmax': 1.4291194894155979e-09}]
[{'word': 'worse', 'softmax': 0.9999992251396179}, {'word': 'better', 'softmax': 1.252640373650138e-07}]
[{'word': 'worse', 'softmax': 0.9999992251396179}, {'word': 'better', 'softmax': 1.432985214933069e-07}]
[{'word': 'worse', 'softmax': 0.999994158744812}, {'word': 'better', 'softmax': 4.011214514321182e-06}]
[{'word': 'better', 'softmax': 0.9999998807907104}, {'word': 'worse', 'softmax': 5.931832247618729e-10}]
[{'word': 'better', 'softmax': 0.9999997019767761}, {'word': 'worse', 'softmax': 5.873692088265159e-10}]
[{'word': 'worse', 'softmax': 0.9999996423721313}, {'word': 'better', 'softmax': 8.692686570554997e-09}]
[{'word': 'better', 'softmax': 0.9999998807907104}, {'word': 'worse', 'softmax': 1.7597727719476097e-09}]
[{'word': 'better', 'softmax': 0.9999999403953552}, {'word': 'worse', 'softmax': 1.619077427683635e-09}]
[{'word': 'more', 'softmax': 0.9999992847442627}, {'word': 'less', 'softmax': 2.572205337614264e-09}]
[{'word': 'less', 'softmax': 0.9999997019767761}, {'word': 'more', 'softmax': 1.9716883059572865e-07}]
[{'word': 'less', 'softmax': 0.9999995827674866}, {'word': 'more', 'softmax': 3.033781297290261e-07}]
[{'word': 'worse', 'softmax': 0.9999998211860657}, {'word': 'better', 'softmax': 1.0983055354074622e-08}]
[{'word': 'better', 'softmax': 1.0}, {'word': 'worse', 'softmax': 1.707674557316352e-09}]
[{'word': 'better', 'softmax': 0.9999999403953552}, {'word': 'worse', 'softmax': 3.089593247906919e-09}]
[{'word': 'better', 'softmax': 0.9999999403953552}, {'word': 'worse', 'softmax': 5.449070972218806e-09}]
[{'word': 'worse', 'softmax': 0.9994249939918518}, {'word': 'better', 'softmax': 0.0005737367318943143}]
[{'word': 'worse', 'softmax': 0.9998950362205505}, {'word': 'better', 'softmax': 0.00010428860696265474}]
[{'word': 'less', 'softmax': 0.9999989867210388}, {'word': 'more', 'softmax': 4.909192625746073e-07}]
[{'word': 'more', 'softmax': 0.9999998807907104}, {'word': 'less', 'softmax': 9.882432649988004e-10}]
[{'word': 'more', 'softmax': 0.9999999403953552}, {'word': 'less', 'softmax': 9.418988922149651e-10}]
[{'word': 'better', 'softmax': 0.9999999403953552}, {'word': 'worse', 'softmax': 2.3104260726825032e-09}]
[{'word': 'worse', 'softmax': 0.9999980926513672}, {'word': 'better', 'softmax': 1.2773504067808972e-06}]
[{'word': 'worse', 'softmax': 0.9999967813491821}, {'word': 'better', 'softmax': 2.6267948669556063e-06}]
[{'word': 'more', 'softmax': 1.0}, {'word': 'less', 'softmax': 2.161505641140593e-08}]
[{'word': 'less', 'softmax': 0.9999991655349731}, {'word': 'more', 'softmax': 3.472067646725918e-07}]
[{'word': 'less', 'softmax': 0.9999995827674866}, {'word': 'more', 'softmax': 2.226914688208126e-07}]
[{'word': 'less', 'softmax': 0.9999997019767761}, {'word': 'more', 'softmax': 2.6777624384521914e-07}]
[{'word': 'more', 'softmax': 1.0}, {'word': 'less', 'softmax': 1.8018560865584732e-08}]
[{'word': 'more', 'softmax': 1.0}, {'word': 'less', 'softmax': 7.374745258914572e-09}]
[{'word': 'less', 'softmax': 0.9999978542327881}, {'word': 'more', 'softmax': 2.195609113186947e-06}]
[{'word': 'more', 'softmax': 0.9999999403953552}, {'word': 'less', 'softmax': 5.915929079947091e-08}]
[{'word': 'more', 'softmax': 0.9999998211860657}, {'word': 'less', 'softmax': 6.318962419982199e-08}]
[{'word': 'better', 'softmax': 0.9999977946281433}, {'word': 'worse', 'softmax': 1.032238405862529e-09}]
[{'word': 'worse', 'softmax': 0.9999960064888}, {'word': 'better', 'softmax': 4.8207930092303286e-08}]
[{'word': 'worse', 'softmax': 0.9999932050704956}, {'word': 'better', 'softmax': 9.73611122390139e-07}]
[{'word': 'harder', 'softmax': 0.999999463558197}, {'word': 'easier', 'softmax': 3.976694813445647e-07}]
[{'word': 'easier', 'softmax': 0.9999881386756897}, {'word': 'harder', 'softmax': 1.112475001718849e-05}]
[{'word': 'easier', 'softmax': 0.9999985694885254}, {'word': 'harder', 'softmax': 6.863378416710475e-07}]
[{'word': 'more', 'softmax': 0.9999971389770508}, {'word': 'less', 'softmax': 2.8205606668052496e-06}]
[{'word': 'less', 'softmax': 0.999995768070221}, {'word': 'more', 'softmax': 4.231718321534572e-06}]
[{'word': 'less', 'softmax': 0.9999980926513672}, {'word': 'more', 'softmax': 1.878162038337905e-06}]
[{'word': 'worse', 'softmax': 0.9999992251396179}, {'word': 'better', 'softmax': 7.249061440006699e-08}]
[{'word': 'better', 'softmax': 0.9999856352806091}, {'word': 'worse', 'softmax': 2.0775667852745983e-09}]
[{'word': 'better', 'softmax': 0.9999579191207886}, {'word': 'worse', 'softmax': 3.2759328583154e-09}]
