[{'word': 'easier', 'softmax': 0.9999998807907104}, {'word': 'harder', 'softmax': 1.574984920260647e-09}]
[{'word': 'harder', 'softmax': 0.9999995231628418}, {'word': 'easier', 'softmax': 4.885357611783547e-07}]
[{'word': 'harder', 'softmax': 0.9999996423721313}, {'word': 'easier', 'softmax': 2.928318849626521e-07}]
[{'word': 'harder', 'softmax': 0.9999986290931702}, {'word': 'easier', 'softmax': 1.1573763458727626e-06}]
[{'word': 'easier', 'softmax': 1.0}, {'word': 'harder', 'softmax': 1.3521913588832035e-09}]
[{'word': 'easier', 'softmax': 0.9999999403953552}, {'word': 'harder', 'softmax': 1.600684584879275e-09}]
[{'word': 'harder', 'softmax': 0.999999463558197}, {'word': 'easier', 'softmax': 2.8242047278581595e-07}]
[{'word': 'easier', 'softmax': 0.9999998807907104}, {'word': 'harder', 'softmax': 1.9419415409061003e-08}]
[{'word': 'easier', 'softmax': 0.9999999403953552}, {'word': 'harder', 'softmax': 2.019746503378883e-08}]
[{'word': 'more', 'softmax': 0.9999977946281433}, {'word': 'less', 'softmax': 2.206566477980232e-06}]
[{'word': 'less', 'softmax': 0.9999972581863403}, {'word': 'more', 'softmax': 1.0531789484957699e-06}]
[{'word': 'less', 'softmax': 0.9999971985816956}, {'word': 'more', 'softmax': 1.0820230045283097e-06}]
[{'word': 'harder', 'softmax': 0.9999974966049194}, {'word': 'easier', 'softmax': 2.004408315769979e-06}]
[{'word': 'easier', 'softmax': 0.9999968409538269}, {'word': 'harder', 'softmax': 2.572325456640101e-06}]
[{'word': 'easier', 'softmax': 0.9999989867210388}, {'word': 'harder', 'softmax': 7.824155545677058e-07}]
[{'word': 'easier', 'softmax': 0.9999992251396179}, {'word': 'harder', 'softmax': 6.284603060180416e-09}]
[{'word': 'harder', 'softmax': 0.9999828338623047}, {'word': 'easier', 'softmax': 1.6698673789505847e-05}]
[{'word': 'harder', 'softmax': 0.9999934434890747}, {'word': 'easier', 'softmax': 6.2595977396995295e-06}]
[{'word': 'less', 'softmax': 0.9999932050704956}, {'word': 'more', 'softmax': 4.32562001151382e-06}]
[{'word': 'more', 'softmax': 0.9999989867210388}, {'word': 'less', 'softmax': 9.67947244134848e-07}]
[{'word': 'more', 'softmax': 0.9999987483024597}, {'word': 'less', 'softmax': 1.2446145092326333e-06}]
[{'word': 'easier', 'softmax': 0.9999998211860657}, {'word': 'harder', 'softmax': 2.164772894275302e-08}]
[{'word': 'harder', 'softmax': 0.999996542930603}, {'word': 'easier', 'softmax': 3.2606419608782744e-06}]
[{'word': 'harder', 'softmax': 0.999994695186615}, {'word': 'easier', 'softmax': 5.241080543783028e-06}]
