[{'word': 'easier', 'softmax': 0.9999998807907104}, {'word': 'harder', 'softmax': 5.0627662062652234e-09}]
[{'word': 'harder', 'softmax': 0.9999998211860657}, {'word': 'easier', 'softmax': 7.083265918250703e-11}]
[{'word': 'harder', 'softmax': 0.9999997615814209}, {'word': 'easier', 'softmax': 6.111725708857207e-11}]
[{'word': 'harder', 'softmax': 0.9999991655349731}, {'word': 'easier', 'softmax': 2.1220085411055578e-10}]
[{'word': 'easier', 'softmax': 0.9999997019767761}, {'word': 'harder', 'softmax': 5.920237189371846e-09}]
[{'word': 'easier', 'softmax': 0.9999997019767761}, {'word': 'harder', 'softmax': 6.555880727177055e-09}]
[{'word': 'harder', 'softmax': 0.9999995827674866}, {'word': 'easier', 'softmax': 2.3376497959581855e-10}]
[{'word': 'easier', 'softmax': 0.9999999403953552}, {'word': 'harder', 'softmax': 1.7099095750428006e-10}]
[{'word': 'easier', 'softmax': 0.9999998807907104}, {'word': 'harder', 'softmax': 1.7792729789523065e-10}]
[{'word': 'more', 'softmax': 0.9999999403953552}, {'word': 'less', 'softmax': 1.2258790649255502e-09}]
[{'word': 'less', 'softmax': 0.9999624490737915}, {'word': 'more', 'softmax': 8.056475735429558e-07}]
[{'word': 'less', 'softmax': 0.9999511241912842}, {'word': 'more', 'softmax': 1.113792109208589e-06}]
[{'word': 'harder', 'softmax': 0.9999995231628418}, {'word': 'easier', 'softmax': 8.06004776809921e-11}]
[{'word': 'easier', 'softmax': 0.9999998211860657}, {'word': 'harder', 'softmax': 8.30132351747892e-11}]
[{'word': 'easier', 'softmax': 0.9999998807907104}, {'word': 'harder', 'softmax': 1.4838903716896112e-10}]
[{'word': 'easier', 'softmax': 0.9999999403953552}, {'word': 'harder', 'softmax': 3.4413155658441497e-10}]
[{'word': 'harder', 'softmax': 0.9999995827674866}, {'word': 'easier', 'softmax': 7.360682202639524e-11}]
[{'word': 'harder', 'softmax': 0.9999995827674866}, {'word': 'easier', 'softmax': 5.109693571037077e-11}]
[{'word': 'less', 'softmax': 0.9999850392341614}, {'word': 'more', 'softmax': 2.692257226044603e-07}]
[{'word': 'more', 'softmax': 0.9999998807907104}, {'word': 'less', 'softmax': 1.315924036404681e-09}]
[{'word': 'more', 'softmax': 0.9999999403953552}, {'word': 'less', 'softmax': 2.4923885177940974e-09}]
[{'word': 'easier', 'softmax': 1.0}, {'word': 'harder', 'softmax': 2.368628349014301e-10}]
[{'word': 'harder', 'softmax': 0.9999997615814209}, {'word': 'easier', 'softmax': 4.3647720854300687e-11}]
[{'word': 'harder', 'softmax': 0.9999998211860657}, {'word': 'easier', 'softmax': 7.235489984935839e-11}]
[{'word': 'better', 'softmax': 1.0}, {'word': 'worse', 'softmax': 4.217902471737034e-09}]
[{'word': 'worse', 'softmax': 0.999999463558197}, {'word': 'better', 'softmax': 1.216314826635312e-10}]
[{'word': 'worse', 'softmax': 0.9999992251396179}, {'word': 'better', 'softmax': 1.8396216494576123e-10}]
[{'word': 'worse', 'softmax': 0.9999983906745911}, {'word': 'better', 'softmax': 1.0605051559142709e-10}]
[{'word': 'better', 'softmax': 0.9999999403953552}, {'word': 'worse', 'softmax': 1.007354200055488e-09}]
[{'word': 'better', 'softmax': 0.9999998807907104}, {'word': 'worse', 'softmax': 8.124168560108558e-10}]
[{'word': 'worse', 'softmax': 0.9999998211860657}, {'word': 'better', 'softmax': 2.182499514447045e-09}]
[{'word': 'better', 'softmax': 1.0}, {'word': 'worse', 'softmax': 6.592015822093344e-10}]
[{'word': 'better', 'softmax': 1.0}, {'word': 'worse', 'softmax': 8.020397679331381e-10}]
[{'word': 'more', 'softmax': 0.9999999403953552}, {'word': 'less', 'softmax': 5.181010465094005e-08}]
[{'word': 'less', 'softmax': 0.9999988079071045}, {'word': 'more', 'softmax': 1.065188598659006e-06}]
[{'word': 'less', 'softmax': 0.999998927116394}, {'word': 'more', 'softmax': 1.1260252676947857e-06}]
[{'word': 'worse', 'softmax': 0.9999996423721313}, {'word': 'better', 'softmax': 3.057873954048773e-10}]
[{'word': 'better', 'softmax': 1.0}, {'word': 'worse', 'softmax': 9.381947441156058e-10}]
[{'word': 'better', 'softmax': 1.0}, {'word': 'worse', 'softmax': 1.1544923905759674e-09}]
[{'word': 'better', 'softmax': 1.0}, {'word': 'worse', 'softmax': 3.8669320523432305e-10}]
[{'word': 'worse', 'softmax': 0.9999998211860657}, {'word': 'better', 'softmax': 4.5170631124413774e-11}]
[{'word': 'worse', 'softmax': 0.9999997615814209}, {'word': 'better', 'softmax': 4.079378848609316e-11}]
[{'word': 'less', 'softmax': 0.9999974966049194}, {'word': 'more', 'softmax': 2.368130253671552e-06}]
[{'word': 'more', 'softmax': 0.9999998807907104}, {'word': 'less', 'softmax': 8.452739308495438e-08}]
[{'word': 'more', 'softmax': 0.9999997615814209}, {'word': 'less', 'softmax': 1.8323204642456403e-07}]
[{'word': 'better', 'softmax': 0.9999999403953552}, {'word': 'worse', 'softmax': 1.2099160562328848e-09}]
[{'word': 'worse', 'softmax': 0.9999998807907104}, {'word': 'better', 'softmax': 1.1771182639730426e-10}]
[{'word': 'worse', 'softmax': 0.9999998211860657}, {'word': 'better', 'softmax': 1.2703671448122122e-10}]
[{'word': 'more', 'softmax': 0.9999951720237732}, {'word': 'less', 'softmax': 3.83407814297243e-06}]
[{'word': 'less', 'softmax': 0.9999955296516418}, {'word': 'more', 'softmax': 4.358957539807307e-06}]
[{'word': 'less', 'softmax': 0.9999959468841553}, {'word': 'more', 'softmax': 3.933277639589505e-06}]
[{'word': 'less', 'softmax': 0.9999843835830688}, {'word': 'more', 'softmax': 1.560473356221337e-05}]
[{'word': 'more', 'softmax': 0.9999546408653259}, {'word': 'less', 'softmax': 4.47513630206231e-05}]
[{'word': 'more', 'softmax': 0.9999188184738159}, {'word': 'less', 'softmax': 8.088681352091953e-05}]
[{'word': 'less', 'softmax': 0.9999978542327881}, {'word': 'more', 'softmax': 2.1287719391693827e-06}]
[{'word': 'more', 'softmax': 0.9999944567680359}, {'word': 'less', 'softmax': 5.249904006632278e-06}]
[{'word': 'more', 'softmax': 0.9999907612800598}, {'word': 'less', 'softmax': 8.790460015006829e-06}]
[{'word': 'better', 'softmax': 0.9999996423721313}, {'word': 'worse', 'softmax': 4.360517635859651e-08}]
[{'word': 'worse', 'softmax': 0.9999996423721313}, {'word': 'better', 'softmax': 2.401621941316989e-07}]
[{'word': 'worse', 'softmax': 0.9999995231628418}, {'word': 'better', 'softmax': 1.0571444830631549e-09}]
[{'word': 'harder', 'softmax': 0.9999997615814209}, {'word': 'easier', 'softmax': 4.238106046661194e-11}]
[{'word': 'easier', 'softmax': 0.9999995231628418}, {'word': 'harder', 'softmax': 2.14593498526483e-09}]
[{'word': 'easier', 'softmax': 0.9999995827674866}, {'word': 'harder', 'softmax': 1.9230093073474563e-09}]
[{'word': 'less', 'softmax': 0.9999881386756897}, {'word': 'more', 'softmax': 1.1862672181450762e-05}]
[{'word': 'less', 'softmax': 0.9999976754188538}, {'word': 'more', 'softmax': 2.2793037715018727e-06}]
[{'word': 'less', 'softmax': 0.9999984502792358}, {'word': 'more', 'softmax': 1.4606459899368929e-06}]
[{'word': 'worse', 'softmax': 0.9999996423721313}, {'word': 'better', 'softmax': 6.391252327375696e-08}]
[{'word': 'better', 'softmax': 0.9999996423721313}, {'word': 'worse', 'softmax': 7.230974574667925e-08}]
[{'word': 'better', 'softmax': 0.9999998211860657}, {'word': 'worse', 'softmax': 2.6328795144081596e-08}]
[{'word': 'easier', 'softmax': 0.9999998211860657}, {'word': 'harder', 'softmax': 1.2259632198308168e-09}]
[{'word': 'harder', 'softmax': 0.9999998211860657}, {'word': 'easier', 'softmax': 2.3210783295368742e-10}]
[{'word': 'harder', 'softmax': 0.9999997019767761}, {'word': 'easier', 'softmax': 1.747609418289997e-10}]
[{'word': 'harder', 'softmax': 0.9999998211860657}, {'word': 'easier', 'softmax': 5.5442577612252464e-11}]
[{'word': 'easier', 'softmax': 0.9999997615814209}, {'word': 'harder', 'softmax': 3.0843747000908195e-10}]
[{'word': 'easier', 'softmax': 0.9999997615814209}, {'word': 'harder', 'softmax': 6.445183275971544e-10}]
[{'word': 'easier', 'softmax': 0.9999998211860657}, {'word': 'harder', 'softmax': 5.588810525480881e-10}]
[{'word': 'harder', 'softmax': 0.9999998211860657}, {'word': 'easier', 'softmax': 2.069305143903577e-11}]
[{'word': 'harder', 'softmax': 0.9999998807907104}, {'word': 'easier', 'softmax': 2.7907436778162875e-11}]
[{'word': 'easier', 'softmax': 0.9999999403953552}, {'word': 'harder', 'softmax': 4.386093621633336e-08}]
[{'word': 'harder', 'softmax': 0.9999997615814209}, {'word': 'easier', 'softmax': 1.6355701515369248e-10}]
[{'word': 'harder', 'softmax': 0.9999997019767761}, {'word': 'easier', 'softmax': 2.0412850576523311e-10}]
[{'word': 'worse', 'softmax': 0.9999999403953552}, {'word': 'better', 'softmax': 2.907490914694222e-09}]
[{'word': 'better', 'softmax': 0.9999998807907104}, {'word': 'worse', 'softmax': 9.808819312340233e-10}]
[{'word': 'better', 'softmax': 1.0}, {'word': 'worse', 'softmax': 1.3713389312997037e-09}]
[{'word': 'more', 'softmax': 0.9999999403953552}, {'word': 'less', 'softmax': 2.3704904705823537e-10}]
