[{'word': 'harder', 'softmax': 0.4889431}, {'word': 'easier', 'softmax': 0.45228732}]
[{'word': 'easier', 'softmax': 0.58341867}, {'word': 'harder', 'softmax': 0.35120264}]
[{'word': 'easier', 'softmax': 0.49405262}, {'word': 'harder', 'softmax': 0.44999966}]
[{'word': 'easier', 'softmax': 0.5846266}, {'word': 'harder', 'softmax': 0.3644911}]
[{'word': 'easier', 'softmax': 0.6044745}, {'word': 'harder', 'softmax': 0.34093028}]
[{'word': 'easier', 'softmax': 0.635559}, {'word': 'harder', 'softmax': 0.3054277}]
[{'word': 'easier', 'softmax': 0.5224201}, {'word': 'harder', 'softmax': 0.40103117}]
[{'word': 'easier', 'softmax': 0.5836558}, {'word': 'harder', 'softmax': 0.37196422}]
[{'word': 'easier', 'softmax': 0.56247216}, {'word': 'harder', 'softmax': 0.37605688}]
[{'word': 'easier', 'softmax': 0.6928823}, {'word': 'harder', 'softmax': 0.19834948}]
[{'word': 'easier', 'softmax': 0.67520446}, {'word': 'harder', 'softmax': 0.23674548}]
[{'word': 'easier', 'softmax': 0.68388134}, {'word': 'harder', 'softmax': 0.2390093}]
[{'word': 'easier', 'softmax': 0.60390663}, {'word': 'harder', 'softmax': 0.30395192}]
[{'word': 'easier', 'softmax': 0.646765}, {'word': 'harder', 'softmax': 0.2741136}]
[{'word': 'easier', 'softmax': 0.4559885}, {'word': 'harder', 'softmax': 0.22062427}]
[{'word': 'easier', 'softmax': 0.67805433}, {'word': 'harder', 'softmax': 0.21056126}]
[{'word': 'easier', 'softmax': 0.67560947}, {'word': 'harder', 'softmax': 0.2052285}]
[{'word': 'easier', 'softmax': 0.603918}, {'word': 'harder', 'softmax': 0.19471142}]
